====================================================================================================
                             LISTAGEM DE PRODUTOS - CONTROLE DE ESTOQUE                             
                              Fonte: ESTOQUE DE PAPEIS-29-7-26(1).xlsx                              
                                    Gerado em: 31/07/2026 15:58                                     
====================================================================================================

----------------------------------------------------------------------------------------------------
CATEGORIA: FOSCO
----------------------------------------------------------------------------------------------------
DESCRIÇÃO                               GRAM.   FORNECEDOR     LARG(mm)  COMP(m)  SALDO(rolos)
BOPP BRILHO COLACRIL NBT                20G     COLACRIL            155     1000             2
BOPP BRILHO COLACRIL NBT                20G     COLACRIL            220     1000             1
BOPP BRILHO COLACRIL NBT                20G     COLACRIL            235     1000             2
BOPP BRILHO RITRAMA                     20G     RITRAMA              75     1000             0
BOPP BRILHO RITRAMA                     20G     RITRAMA              80     1000             4
BOPP BRILHO RITRAMA                     20G     RITRAMA             100     1000             1
BOPP BRILHO RITRAMA                     20G     RITRAMA             100     1500             4
BOPP BRILHO RITRAMA                     20G     RITRAMA             100     2000             2
BOPP BRILHO RITRAMA                     20G     RITRAMA             105     2000             3
BOPP BRILHO RITRAMA                     20G     RITRAMA             111      500             1
BOPP BRILHO RITRAMA                     20G     RITRAMA             115      600             0
BOPP BRILHO RITRAMA                     20G     RITRAMA             115     1000             2
BOPP BRILHO RITRAMA                     20G     RITRAMA             115     1500             2
BOPP BRILHO RITRAMA                     20G     RITRAMA             115     2000             1
BOPP BRILHO RITRAMA                     20G     RITRAMA             130     2000             2
BOPP BRILHO RITRAMA                     20G     RITRAMA             135     1000             0
BOPP BRILHO RITRAMA                     20G     RITRAMA             155     2000             2
BOPP BRILHO RITRAMA                     20G     RITRAMA             333      500             1
BOPP BRILHO RITRAMA                     20G     RITRAMA             334     1000             2
BOPP FOSCO COLACRIL BXT                 20G     COLACRIL             30     1000             0
BOPP FOSCO COLACRIL BXT                 20G     COLACRIL             60     1000             1
BOPP FOSCO COLACRIL BXT                 20G     COLACRIL             60     2000             1
BOPP FOSCO COLACRIL BXT                 20G     COLACRIL             61     1000             2
BOPP FOSCO COLACRIL BXT                 20G     COLACRIL             65     1000             0
BOPP FOSCO COLACRIL BXT                 20G     COLACRIL             75     1000             0
BOPP FOSCO COLACRIL BXT                 20G     COLACRIL             80     1000             6
BOPP FOSCO COLACRIL BXT                 20G     COLACRIL             83     1500             1
BOPP FOSCO COLACRIL BXT                 20G     COLACRIL             85     2000             0
BOPP FOSCO COLACRIL BXT                 20G     COLACRIL             90      500             0
BOPP FOSCO COLACRIL BXT                 20G     COLACRIL             95     2000             0
BOPP FOSCO COLACRIL BXT                 20G     COLACRIL            100     1000             0
BOPP FOSCO COLACRIL BXT                 20G     COLACRIL            110     2000             0
BOPP FOSCO COLACRIL BXT                 20G     COLACRIL            120     1000             5
BOPP FOSCO COLACRIL BXT                 20G     COLACRIL            120     2000             0
BOPP FOSCO COLACRIL BXT                 20G     COLACRIL            130     1000             0
BOPP FOSCO COLACRIL BXT                 20G     COLACRIL            132     1000             3
BOPP FOSCO COLACRIL BXT                 20G     COLACRIL            145     2000             2
BOPP FOSCO COLACRIL BXT                 20G     COLACRIL            150     2000             0
BOPP FOSCO COLACRIL BXT                 20G     COLACRIL            160     1000             1
BOPP FOSCO COLACRIL BXT                 20G     COLACRIL            160     1500             2
BOPP FOSCO COLACRIL BXT                 20G     COLACRIL            205     1500             1
BOPP FOSCO COLACRIL BXT                 20G     COLACRIL            210      700             1
BOPP FOSCO COLACRIL BXT                 20G     COLACRIL            210     1000             1
BOPP FOSCO COLACRIL BXT                 20G     COLACRIL            210     1500             8
BOPP FOSCO COLACRIL BXT                 20G     COLACRIL            210     2000             2
BOPP FOSCO COLACRIL BXT                 20G     COLACRIL            220     1500             2
BOPP FOSCO COLACRIL BXT                 20G     COLACRIL            250     1500             1
BOPP FOSCO FASSON 20G                   20G     FASSON               60     1000             3
BOPP FOSCO FASSON 20G                   20G     FASSON               65     1000             4
BOPP FOSCO FASSON 20G                   20G     FASSON               65     1500             1
BOPP FOSCO FASSON 20G                   20G     FASSON               70     1000             2
BOPP FOSCO FASSON 20G                   20G     FASSON               75     1000             0
BOPP FOSCO FASSON 20G                   20G     FASSON               80     1000             1
BOPP FOSCO FASSON 20G                   20G     FASSON               80     1500             3
BOPP FOSCO FASSON 20G                   20G     FASSON               85     1500             3
BOPP FOSCO FASSON 20G                   20G     FASSON               90     1000             1
BOPP FOSCO FASSON 20G                   20G     FASSON               90     1500             1
BOPP FOSCO FASSON 20G                   20G     FASSON               95     1000             3
BOPP FOSCO FASSON 20G                   20G     FASSON               95     1500             2
BOPP FOSCO FASSON 20G                   20G     FASSON              100     1500             4
BOPP FOSCO FASSON 20G                   20G     FASSON              102     1000             0
BOPP FOSCO FASSON 20G                   20G     FASSON              105     1000             1
BOPP FOSCO FASSON 20G                   20G     FASSON              110     1000             1
BOPP FOSCO FASSON 20G                   20G     FASSON              110     1500             1
BOPP FOSCO FASSON 20G                   20G     FASSON              112     1500             3
BOPP FOSCO FASSON 20G                   20G     FASSON              115      700             1
BOPP FOSCO FASSON 20G                   20G     FASSON              115     1000             2
BOPP FOSCO FASSON 20G                   20G     FASSON              120      500             1
BOPP FOSCO FASSON 20G                   20G     FASSON              120     1000             5
BOPP FOSCO FASSON 20G                   20G     FASSON              130     1000             5
BOPP FOSCO FASSON 20G                   20G     FASSON              135     1000             2
BOPP FOSCO FASSON 20G                   20G     FASSON              140     1000             3
BOPP FOSCO FASSON 20G                   20G     FASSON              145     1000             4
BOPP FOSCO FASSON 20G                   20G     FASSON              150     1500             1
BOPP FOSCO FASSON 20G                   20G     FASSON              155     1000             9
BOPP FOSCO FASSON 20G                   20G     FASSON              160     1000             1
BOPP FOSCO FASSON 20G                   20G     FASSON              160     1500             1
BOPP FOSCO FASSON 20G                   20G     FASSON              165     1500             2
BOPP FOSCO FASSON 20G                   20G     FASSON              180     1000             1
BOPP FOSCO FASSON 20G                   20G     FASSON              210      500             1
BOPP FOSCO FASSON 20G                   20G     FASSON              210     1500             6
BOPP FOSCO FASSON 20G                   20G     FASSON              220      800             1
BOPP FOSCO FASSON 20G                   20G     FASSON              220     1000             1
BOPP FOSCO FASSON 20G                   20G     FASSON              220     1500             2
BOPP FOSCO FASSON 20G                   20G     FASSON              235      500             1
BOPP FOSCO FASSON 20G                   20G     FASSON              235     1000             4
BOPP FOSCO FASSON 20G                   20G     FASSON              250      500             0
BOPP FOSCO FASSON 20G                   20G     FASSON              250      600             0
BOPP FOSCO FASSON 30G                   30G     FASSON               90     1000             1
BOPP FOSCO FASSON 30G                   30G     FASSON              100     1000             1
BOPP FOSCO FASSON 30G                   30G     FASSON              120     1500             1
BOPP FOSCO FASSON 30G                   30G     FASSON              145     1500             1
BOPP FOSCO FASSON 30G                   30G     FASSON              220     1500             1
BOPP FOSCO RITRAMA                      20G     RITRAMA              60     1000             1
BOPP FOSCO RITRAMA                      20G     RITRAMA              88      700             1
BOPP FOSCO RITRAMA                      20G     RITRAMA             100     1000             2
BOPP FOSCO RITRAMA                      20G     RITRAMA             110     1000             2
BOPP FOSCO RITRAMA                      20G     RITRAMA             130     1000             1
